Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Favorite Homework	Chicken Invasion	32	47%	79%	Gamma Gaia	
Phony Cockfight	Chicken Invasion	10	65%	75%	Gamma Gaia	
Muffled Ingrain	Chicken Invasion	24	26%	50%	Gamma Gaia	
Plump Disaster	Chicken Invasion	40	71%	100%	Epsilon Gaia	
Harmful Amaranth	Chicken Invasion	18	79%	97%	Epsilon Gaia	
Kind Lightheartedness	Chicken Invasion	21	86%	100%	Epsilon Gaia	
Dimwitted Ganache	Chicken Invasion	24	48%	72%	Tau Gaia	
Dim Atmosphere	Chicken Invasion	15	94%	100%	Tau Gaia	
Utilized Speech	Comet Chase	14	38%	52%	Tau Gaia	
Leading Ammonite	Boss Rush	10	62%	72%	Tau Gaia	
Infamous Birdcall	Chicken Invasion	5	41%	46%	Tau Gaia	
False Bowrider	Comet Chase	10	43%	53%	Sigma Gaia	
Strange Guano	Feather Fields	8	41%	49%	Sigma Gaia	
Wasteful Manoeuvre	Darkness	10	45%	55%	Sigma Gaia	
Ornery Cookie	Darkness	10	66%	76%	Sigma Gaia	
Organic Cooperativeness	Chicken Invasion	36	44%	80%	Sigma Gaia	
Ignorant Banyan	Boss Rush	5	81%	86%	Sigma Gaia	
Criminal Decalogue	Chicken Invasion	18	37%	55%	Theta Gaia	
Fatherly Safehouse	Chicken Invasion	14	64%	78%	Theta Gaia	
Costly Shim	Chicken Invasion	28	25%	53%	Theta Gaia	
Blushing Incorruptibility	Squawk Block	11	6%	17%	Theta Gaia	
Monthly Consequence	Chicken Invasion	27	77%	100%	Theta Gaia	
Important Agreement	Squawk Block	11	77%	88%	Theta Gaia	
Tremendous Preparation	Feather Fields	7	87%	94%	Pi Gaia	
Careless Reishi	Chicken Invasion	28	18%	46%	Pi Gaia	
Variable Wingspread	Supernova	6	27%	33%	Phrixus	
Hungry Wingspread	Squawk Block	17	37%	54%	Phrixus	
Hilarious Guidestar	Chicken Invasion	20	50%	70%	Alpha Phrixus	
Aromatic Cliffside	Squawk Block	6	80%	86%	Psi Phrixus	
Clean Outcome	Chicken Invasion	20	17%	37%	Chi Phrixus	
Fumbling Bottlebrush	Squawk Block	12	22%	34%	Chi Phrixus	
Impressive Principalship	Chicken Invasion	10	34%	44%	Chi Phrixus	
Parallel Farmer	Boss Rush	9	31%	40%	Chi Phrixus	
Cuddly Presentiment	Chicken Invasion	8	71%	79%	Phi Phrixus	
Scared Presence	Chicken Invasion	24	35%	59%	Phi Phrixus	
Key Classifieds	Chicken Invasion	10	61%	71%	Phi Phrixus	
Zesty Trainer	Squawk Block	8	8%	16%	Phi Phrixus	
Charming Vehicle	Chicken Invasion	24	19%	43%	Phi Phrixus	
Queasy Worker	Chicken Invasion	9	56%	65%	Upsilon Phrixus	
Great Bathroom	Meteor Storm	9	11%	20%	Dziva	
Burly Arthroscopy	Meteor Storm	13	31%	44%	Dziva	
Mountainous Microcode	Chicken Invasion	21	25%	46%	Eta Phrixus	
Impossible Sleepwear	Chicken Invasion	18	27%	45%	Eta Phrixus	
Severe Pommel	Chicken Invasion	30	14%	44%	Eta Phrixus	
Vague Sapwood	Chicken Invasion	15	12%	27%	Eta Phrixus	
Petty Reputation	Feather Fields	6	83%	89%	Eta Phrixus	
Wrathful Candidate	Squawk Block	18	53%	71%	Eta Phrixus	
Infinite Gearhead	Chicken Invasion	20	71%	91%	Theta Phrixus	
Legal Possession	Chicken Invasion	20	17%	37%	Theta Phrixus	
Frivolous Interdict	Chicken Invasion	10	23%	33%	Theta Phrixus	
Taut Inviolability	Boss Rush	7	79%	86%	Theta Phrixus	
Lazy Yawl	Comet Chase	14	96%	100%	Theta Phrixus	
Closed Rootworm	Chicken Invasion	5	57%	62%	Pi Phrixus	
Wiggly Sleepwalker	Feather Fields	5	30%	35%	Pi Phrixus	
Smooth Sonority	Chicken Invasion	36	34%	70%	Pi Phrixus	
Another Loquat	Darkness	24	75%	99%	Kappa Phrixus	
Overlooked Loess	Boss Rush	6	28%	34%	Kappa Phrixus	
Any Acequia	Supernova	12	98%	100%	Asbetos	
Misguided Currency	Squawk Block	18	12%	30%	Asbetos	
Strong Squareness	Darkness	5	22%	27%	Alpha Asbetos	
Personal Plantsman	Squawk Block	12	29%	41%	Alpha Asbetos	
Writhing Grogginess	Comet Chase	11	3%	14%	Alpha Asbetos	
Wrathful Waft	Boss Rush	8	14%	22%	Alpha Asbetos	
Possible Awareness	Double Team	8	85%	93%	Psi Asbetos	U.C.O. 3 + Super-Chick
Unimportant Volume	Boss Rush	6	78%	84%	Psi Asbetos	
Cluttered Galette	Chicken Invasion	7	7%	14%	Psi Asbetos	
Stylish Demagogy	Key Rush	30	25%	100%	Psi Asbetos	
Unwelcome Chinaberry	Darkness	6	23%	29%	Gamma Asbetos	
Friendly Highway	Supernova	5	10%	15%	Arete	
Disguised Dockyard	Supernova	15	20%	35%	Arete	
Descriptive Tondo	Supernova	14	80%	94%	Arete	
Minor Steak	Chicken Invasion	32	78%	100%	Arete	
Pitiful Rearmament	Squawk Block	14	26%	40%	Arete	
Jaunty Reaction	Chicken Invasion	30	16%	46%	Arete	
Whirlwind Hat	Chicken Invasion	32	27%	59%	Arete	
Unusual Toile	Chicken Invasion	18	52%	70%	Alpha Arete	
Pleasing Disapprobation	Chicken Invasion	12	35%	47%	Alpha Arete	
Measly Kingmaker	Chicken Invasion	12	84%	96%	Alpha Arete	
Innocent Bioweapon	Chicken Invasion	18	57%	75%	Alpha Arete	
Delectable Airport	Chicken Invasion	15	48%	63%	Alpha Arete	
Immediate Prequel	Squawk Block	14	92%	100%	Alpha Arete	
Harmful Repellency	Darkness	30	95%	100%	Beta Arete	
Extroverted Corbel	Chicken Invasion	12	43%	55%	Beta Arete	
Comfortable Flatworm	Squawk Block	13	40%	53%	Beta Arete	
Linear Song	Supernova	15	15%	30%	Tlepolemus	
Tall Elocution	Supernova	8	9%	17%	Tlepolemus	
Gripping Operetta	Comet Chase	8	95%	100%	Tlepolemus	
Devoted Princedom	Feather Fields	14	95%	100%	Tlepolemus	
Brilliant Employee	Boss Rush	4	8%	12%	Tlepolemus	
Greedy Bollworm	Chicken Invasion	32	90%	100%	Tlepolemus	
Ultimate Handclasp	Feather Fields	13	89%	100%	Alpha Tlepolemus	
Stunning Toile	Chicken Invasion	36	23%	59%	Alpha Tlepolemus	
Loyal Tradition	Darkness	15	72%	87%	Alpha Tlepolemus	
Crushing Dairyman	Chicken Invasion	20	2%	22%	Alpha Tlepolemus	
Paltry Cartload	Boss Rush	8	78%	86%	Alpha Tlepolemus	
Lazy Rescission	Chicken Invasion	24	24%	48%	Psi Tlepolemus	
Mixed Bevel	Chicken Invasion	9	77%	86%	Psi Tlepolemus	
Definite Operation	Chicken Invasion	10	74%	84%	Chi Tlepolemus	
Pleasant Chocolatier	Chicken Invasion	10	79%	89%	Chi Tlepolemus	
Minty Climate	Comet Chase	9	13%	22%	Chi Tlepolemus	
Courageous Recording	Boss Rush	8	19%	27%	Chi Tlepolemus	
Ancient Merino	Chicken Invasion	24	31%	55%	Delta Tlepolemus	
Equatorial Vittles	Boss Rush	7	60%	67%	Delta Tlepolemus	
Minty Song	Chicken Invasion	9	96%	100%	Upsilon Tlepolemus	
Apprehensive Entailment	Squawk Block	10	17%	27%	Upsilon Tlepolemus	
Orange Gasifier	Double Team	10	83%	93%	Upsilon Tlepolemus	U.C.O. 3 + U.C.O. 4 or U.C.O. 3 + Laser Crab
Stained Weakness	Double Team	4	57%	61%	Tau Tlepolemus	Boss Chick + Infini-Chick
Lumpy Assignment	Chicken Invasion	32	26%	58%	Tau Tlepolemus	
Offbeat Detectability	Feather Fields	7	23%	30%	Tau Tlepolemus	
Positive Astrobiologist	Double Team	6	89%	95%	Tau Tlepolemus	Mother-Hen + Chef
Snappy Chamberlain	Chicken Invasion	18	58%	76%	Eta Tlepolemus	
Vivid Encirclement	Comet Chase	13	60%	73%	Pi Tlepolemus	
Messy Technics	Chicken Invasion	36	81%	100%	Pi Tlepolemus	
Haunting Thoughtlessness	Chicken Invasion	32	10%	42%	Pi Tlepolemus	
Nautical Inspection	Darkness	15	70%	85%	Pi Tlepolemus	
Content Gasifier	Chicken Invasion	14	23%	37%	Pi Tlepolemus	
Untried Prefect	Boss Rush	3	36%	39%	Pi Tlepolemus	
Whispered Delimitation	Chicken Invasion	10	15%	25%	Omicron Tlepolemus	
Nasty Battlefront	Chicken Invasion	9	55%	64%	Omicron Tlepolemus	
Extraneous Gazette	Chicken Invasion	5	76%	81%	Omicron Tlepolemus	
Pleased Purposiveness	Chicken Invasion	18	60%	78%	Omicron Tlepolemus	
Concrete Kibble	Comet Chase	11	69%	80%	Omicron Tlepolemus	
Delightful Steak	Chicken Invasion	24	3%	27%	Omicron Tlepolemus	
Kooky Systematization	Chicken Invasion	10	0%	10%	Lambda Tlepolemus	
Wonderful Nailer	Squawk Block	13	64%	77%	Lambda Tlepolemus	
Worried Pyrite	Chicken Invasion	30	4%	34%	Lambda Tlepolemus	
Winged Bedroom	Chicken Invasion	28	38%	66%	Lambda Tlepolemus	
Excellent Imperium	Boss Rush	10	7%	17%	Mu Tlepolemus	
Jittery Counteroffer	Chicken Invasion	32	56%	88%	Mu Tlepolemus	
Tricky Cioppino	Chicken Invasion	8	80%	88%	Mu Tlepolemus	
Unsteady Destruct	Supernova	5	90%	95%	Eurytus	
Unwritten Tooth	Boss Rush	6	60%	66%	Eurytus	
Busy Crabapple	Boss Rush	6	56%	62%	Alpha Eurytus	
Salty Franchiser	Squawk Block	13	20%	33%	Alpha Eurytus	
Numb Opacification	Chicken Invasion	10	58%	68%	Alpha Eurytus	
Key Aeroplane	Comet Chase	7	60%	67%	Alpha Eurytus	
Near Surgery	Darkness	10	98%	100%	Alpha Eurytus	
Blue Despoliation	Supernova	6	63%	69%	Hyrnetho	
Boring Boomtown	Supernova	9	34%	43%	Hyrnetho	
Upright Relator	Squawk Block	20	50%	70%	Hyrnetho	
Bogus Demitasse	Boss Rush	6	26%	32%	Hyrnetho	
Thick Ostentation	Chicken Invasion	24	43%	67%	Hyrnetho	
Spiteful Handmaid	Chicken Invasion	28	8%	36%	Hyrnetho	
Shy Assistant	Chicken Invasion	32	76%	100%	Hyrnetho	
Angelic Salad	Chicken Invasion	5	8%	13%	Hyrnetho	
Cheerful Flutist	Chicken Invasion	18	85%	100%	Alpha Hyrnetho	
Victorious Somnolence	Chicken Invasion	15	24%	39%	Alpha Hyrnetho	
Frosty Baseball	Chicken Invasion	16	7%	23%	Alpha Hyrnetho	
Variable Hollowness	Supernova	11	92%	100%	Aristomachus	
Opulent Chapter	Supernova	10	0%	10%	Aristomachus	
Impish Wedding	Supernova	15	31%	46%	Aristomachus	
Excitable Honey	Comet Chase	5	98%	100%	Aristomachus	
Clumsy Spawner	Squawk Block	5	9%	14%	Alpha Aristomachus	
Useless Regency	Squawk Block	16	62%	78%	Alpha Aristomachus	
Unpleasant Coloratura	Chicken Invasion	24	37%	61%	Alpha Aristomachus	
Knowledgeable Estancia	Chicken Invasion	15	86%	100%	Alpha Aristomachus	
Insistent Sandpit	Boss Rush	10	71%	81%	Beta Aristomachus	
Scratchy Carpaccio	Chicken Invasion	24	83%	100%	Beta Aristomachus	
Actual Contract	Chicken Invasion	5	3%	8%	Beta Aristomachus	
Altruistic Cruet	Chicken Invasion	30	55%	85%	Beta Aristomachus	
Quirky Committee	Chicken Invasion	5	60%	65%	Chi Aristomachus	
Instructive Moa	Chicken Invasion	8	80%	88%	Chi Aristomachus	
Gripping Impression	Chicken Invasion	28	69%	97%	Chi Aristomachus	
Interesting Discussant	Darkness	18	91%	100%	Phi Aristomachus	
Tinted Warning	Chicken Invasion	8	77%	85%	Epsilon Aristomachus	
Tragic Boomtown	Chicken Invasion	28	86%	100%	Epsilon Aristomachus	
Optimistic Flimsy	Chicken Invasion	5	48%	53%	Epsilon Aristomachus	
Slim Singleness	Chicken Invasion	8	98%	100%	Epsilon Aristomachus	
Fancy Shim	Squawk Block	7	87%	94%	Zeta Aristomachus	
Which Trice	Chicken Invasion	6	0%	6%	Zeta Aristomachus	
Harmonious Imperium	Boss Rush	7	87%	94%	Zeta Aristomachus	
Rash Stranger	Chicken Invasion	16	95%	100%	Zeta Aristomachus	
Arctic Conserver	Chicken Invasion	7	55%	62%	Zeta Aristomachus	
Ill-informed Doggedness	Boss Rush	4	11%	15%	Zeta Aristomachus	
Queasy Broadtail	Squawk Block	17	27%	44%	Eta Aristomachus	
Slight Bevel	Darkness	21	90%	100%	Eta Aristomachus	
Sentimental Dockyard	Darkness	16	67%	83%	Eta Aristomachus	
Overjoyed Deckle	Chicken Invasion	40	46%	86%	Eta Aristomachus	
Flawed Fireback	Chicken Invasion	27	0%	27%	Eta Aristomachus	
Conventional Inducer	Chicken Invasion	24	5%	29%	Eta Aristomachus	
Open Database	Supernova	6	12%	18%	Antion	
Impossible Coarseness	Supernova	15	99%	100%	Antion	
Able Waitstaff	Supernova	14	50%	64%	Antion	
Automatic Insouciance	Chicken Invasion	18	14%	32%	Antion	
Caring Childhood	Chicken Invasion	18	88%	100%	Antion	
Long Belatedness	Comet Chase	15	40%	55%	Antion	
Liquid Autobahn	Chicken Invasion	7	51%	58%	Antion	
Bad Factuality	Chicken Invasion	8	78%	86%	Antion	
Chubby Sonority	Chicken Invasion	9	32%	41%	Alpha Antion	
Square Insouciance	Chicken Invasion	14	33%	47%	Alpha Antion	
Low Maintenance	Chicken Invasion	20	7%	27%	Alpha Antion	
Lighthearted Clangor	Supernova	10	72%	82%	Melanippus	
Utter Disputant	Supernova	14	28%	42%	Melanippus	
Thankful Jute	Supernova	7	9%	16%	Melanippus	
Gloomy Ephemeris	Chicken Invasion	28	18%	46%	Melanippus	
Sane Typicality	Chicken Invasion	24	39%	63%	Alpha Melanippus	
Flamboyant Gringa	Chicken Invasion	6	59%	65%	Alpha Melanippus	
Fatal Wallboard	Chicken Invasion	14	56%	70%	Alpha Melanippus	
Tempting Nonconformity	Chicken Invasion	28	42%	70%	Beta Melanippus	
Gargantuan Childhood	Chicken Invasion	40	61%	100%	Beta Melanippus	
Separate Typicality	Chicken Invasion	21	99%	100%	Beta Melanippus	
Competent Ganache	Supernova	6	76%	82%	Laërtes	
Noted Refit	Squawk Block	15	65%	80%	Laërtes	
Dear Variation	Chicken Invasion	18	69%	87%	Laërtes	
Itchy Drama	Chicken Invasion	6	60%	66%	Alpha Laërtes	
Electric Isinglass	Chicken Invasion	24	50%	74%	Alpha Laërtes	
Puny Jazzman	Comet Chase	12	70%	82%	Alpha Laërtes	
Wealthy Hydrofoil	Boss Rush	10	98%	100%	Alpha Laërtes	
Impish Speaker	Chicken Invasion	32	26%	58%	Alpha Laërtes	
Adolescent Systematization	Chicken Invasion	9	78%	87%	Alpha Laërtes	
Big Gesticulation	Chicken Invasion	6	10%	16%	Tau Laërtes	
Filthy Contribution	Chicken Invasion	14	71%	85%	Tau Laërtes	
Wiggly Disaster	Boss Rush	7	85%	92%	Tau Laërtes	
Required Congruity	Feather Fields	14	26%	40%	Tau Laërtes	
Annual Battlefront	Squawk Block	20	35%	55%	Tau Laërtes	
Bitter Airshaft	Squawk Block	17	57%	74%	Tau Laërtes	
Brief Sward	Squawk Block	5	39%	44%	Upsilon Laërtes	
Far Waft	Double Team	5	74%	79%	Upsilon Laërtes	Sweater + Super-Chick
Definitive Businessperson	Chicken Invasion	6	25%	31%	Upsilon Laërtes	
Elastic Lacework	Double Team	8	68%	76%	Upsilon Laërtes	Crab + Party Time
Live Blondness	Chicken Invasion	28	67%	95%	Upsilon Laërtes	
Cumbersome Romanticist	Double Team	9	60%	69%	Upsilon Laërtes	U.C.O. 1 + Infini-Chick
Fabulous Imprecation	Comet Chase	10	12%	22%	Psi Laërtes	
Elegant Tussock	Chicken Invasion	20	44%	64%	Psi Laërtes	
Decisive Moonshot	Double Team	10	66%	76%	Psi Laërtes	Mother-Hen + Party Time
Likable Nailhead	Chicken Invasion	16	39%	55%	Psi Laërtes	
Colossal Stave	Supernova	11	86%	97%	Cladeus	
Submissive Oysterman	Supernova	12	10%	22%	Cladeus	
Musty Lady	Supernova	14	76%	90%	Cladeus	
Sparse Anxiety	Chicken Invasion	20	10%	30%	Cladeus	
Illiterate Religionist	Chicken Invasion	36	88%	100%	Alpha Cladeus	
Physical Proprietress	Chicken Invasion	20	9%	29%	Alpha Cladeus	
Familiar Fishwife	Chicken Invasion	24	5%	29%	Psi Cladeus	
Pleased Lady	Chicken Invasion	7	92%	99%	Gamma Cladeus	
Carefree Height	Boss Rush	3	29%	32%	Gamma Cladeus	
Crowded Tension	Chicken Invasion	15	68%	83%	Gamma Cladeus	
Anchored Cautiousness	Comet Chase	10	71%	81%	Gamma Cladeus	
Idiotic Pasturage	Chicken Invasion	12	70%	82%	Gamma Cladeus	
Ragged Spawner	Chicken Invasion	27	85%	100%	Gamma Cladeus	
Smooth Meal	Chicken Invasion	32	70%	100%	Delta Cladeus	
Offensive Refrigerator	Comet Chase	13	10%	23%	Delta Cladeus	
Past Faery	Meteor Storm	10	14%	24%	Ashiakle	
Political Guanine	Meteor Storm	6	9%	15%	Ashiakle	
Expensive Airport	Boss Rush	5	32%	37%	Zeta Cladeus	
Biodegradable Departure	Boss Rush	7	50%	57%	Zeta Cladeus	
Testy Sister	Chicken Invasion	20	0%	20%	Zeta Cladeus	
Frequent Piano	Chicken Invasion	9	0%	9%	Zeta Cladeus	
Second-hand Dingbat	Darkness	8	15%	23%	Zeta Cladeus	
Popular Bedroom	Darkness	20	33%	53%	Zeta Cladeus	
Indelible Writer	Darkness	30	65%	95%	Sigma Cladeus	
Clean Gorget	Chicken Invasion	10	37%	47%	Sigma Cladeus	
Favorable Possibility	Chicken Invasion	28	63%	91%	Sigma Cladeus	
Fussy Demitasse	Squawk Block	17	25%	42%	Rho Cladeus	
Attractive Birdcage	Chicken Invasion	9	18%	27%	Rho Cladeus	
Calm Scrollwork	Chicken Invasion	27	40%	67%	Rho Cladeus	
Irritating Desalinization	Squawk Block	16	58%	74%	Rho Cladeus	
Shimmering Apple	Comet Chase	14	41%	55%	Pi Cladeus	
Tremendous Cava	Chicken Invasion	18	34%	52%	Omicron Cladeus	
Careless Dystopia	Boss Rush	6	56%	62%	Lambda Cladeus	
Husky Leader	Chicken Invasion	24	30%	54%	Lambda Cladeus	
Unaware Medkit	Boss Rush	8	62%	70%	Nu Cladeus	
Rich Gracefulness	Supernova	14	1%	15%	Trambelus	
Luminous Bestowal	Supernova	15	98%	100%	Trambelus	
Alert Benefactress	Squawk Block	9	12%	21%	Trambelus	
Sad Reflection	Squawk Block	18	86%	100%	Alpha Trambelus	
Staid Princedom	Chicken Invasion	14	70%	84%	Alpha Trambelus	
Repentant Maintenance	Chicken Invasion	6	21%	27%	Alpha Trambelus	
Woozy Unavailability	Chicken Invasion	14	71%	85%	Alpha Trambelus	
Murky Marzipan	Chicken Invasion	8	93%	100%	Alpha Trambelus	
Vague Transportation	Chicken Invasion	15	75%	90%	Alpha Trambelus	
Orderly Inspection	Feather Fields	13	67%	80%	Beta Trambelus	
Evil Backgrounder	Key Rush	30	25%	100%	Beta Trambelus	
Thin Promotion	Chicken Invasion	20	97%	100%	Beta Trambelus	
Overdue Insect	Chicken Invasion	20	10%	30%	Beta Trambelus	
Gigantic Handstand	Supernova	8	62%	70%	Marpesia	
Dark Writer	Supernova	5	65%	70%	Marpesia	
Each Football	Chicken Invasion	5	64%	69%	Marpesia	
Ambitious Purebred	Squawk Block	10	72%	82%	Marpesia	
Generous Rootworm	Chicken Invasion	30	85%	100%	Marpesia	
Wide Blondness	Chicken Invasion	15	78%	93%	Marpesia	
Essential Sparker	Chicken Invasion	21	48%	69%	Marpesia	
Flawless Practicability	Chicken Invasion	14	88%	100%	Alpha Marpesia	
Inexperienced Horizontality	Chicken Invasion	24	87%	100%	Alpha Marpesia	
Expensive Manoeuvre	Boss Rush	5	69%	74%	Alpha Marpesia	
Grotesque Destruct	Chicken Invasion	14	69%	83%	Gamma Marpesia	
Enchanting Cartload	Comet Chase	12	35%	47%	Gamma Marpesia	
Sick Chocolate	Boss Rush	7	94%	100%	Gamma Marpesia	
Elliptical Church	Squawk Block	11	89%	100%	Gamma Marpesia	
Harsh Tipster	Chicken Invasion	14	44%	58%	Gamma Marpesia	
Zealous Session	Comet Chase	15	94%	100%	Gamma Marpesia	
Remarkable Committee	Boss Rush	3	65%	68%	Delta Marpesia	
Thorough Coarseness	Chicken Invasion	20	58%	78%	Upsilon Marpesia	
Perfumed Frisket	Darkness	21	72%	93%	Zeta Marpesia	
Violet Cleanout	Chicken Invasion	21	95%	100%	Zeta Marpesia	
Defensive Kerf	Comet Chase	13	86%	99%	Zeta Marpesia	
Sardonic Rootworm	Key Rush	10	25%	100%	Zeta Marpesia	
Slimy Thermoregulation	Chicken Invasion	20	31%	51%	Zeta Marpesia	
Red Sacralization	Feather Fields	7	40%	47%	Zeta Marpesia	
Both Scape	Supernova	5	31%	36%	Alala	
Young Presence	Supernova	7	95%	100%	Alala	
Innocent Chamberlain	Supernova	11	68%	79%	Alala	
Greedy Oysterman	Chicken Invasion	7	79%	86%	Alala	
Cheery Revolution	Squawk Block	12	51%	63%	Alala	
Nautical Salver	Chicken Invasion	7	93%	100%	Alala	
Icy Sward	Boss Rush	7	12%	19%	Alala	
Specific Perspicacity	Squawk Block	9	27%	36%	Alala	
Happy-go-lucky Blondness	Chicken Invasion	21	39%	60%	Alala	
Gripping Goalpost	Chicken Invasion	12	51%	63%	Alpha Alala	
Playful Rockfall	Chicken Invasion	24	62%	86%	Alpha Alala	
Focused Prearrangement	Chicken Invasion	5	72%	77%	Alpha Alala	
Foolish Fireback	Chicken Invasion	36	96%	100%	Alpha Alala	
Marvelous Plaice	Chicken Invasion	20	80%	100%	Alpha Alala	
Grouchy Basketmaker	Feather Fields	8	23%	31%	Psi Alala	
Modest Scow	Comet Chase	11	52%	63%	Psi Alala	
Aggravating Attender	Darkness	6	7%	13%	Psi Alala	
Known Centurion	Chicken Invasion	24	25%	49%	Psi Alala	
Humiliating Thermals	Chicken Invasion	18	75%	93%	Psi Alala	
Key Protectant	Comet Chase	10	15%	25%	Gamma Alala	
Apprehensive Subsumption	Boss Rush	9	18%	27%	Gamma Alala	
Keen Volume	Supernova	14	14%	28%	Anaxibia	
Unfortunate Safehouse	Supernova	5	73%	78%	Anaxibia	
Nutty Contortionist	Comet Chase	11	3%	14%	Anaxibia	
Agile Entailment	Chicken Invasion	36	46%	82%	Anaxibia	
Courageous Passenger	Chicken Invasion	5	13%	18%	Anaxibia	
Formal Portcullis	Squawk Block	5	24%	29%	Anaxibia	
Weary Jackboot	Chicken Invasion	24	31%	55%	Anaxibia	
Agonizing Fibrin	Chicken Invasion	8	38%	46%	Alpha Anaxibia	
Irresponsible Deliveryman	Chicken Invasion	10	22%	32%	Alpha Anaxibia	
Optimal Cabinet	Chicken Invasion	12	86%	98%	Alpha Anaxibia	
Thirsty Obtuseness	Squawk Block	15	26%	41%	Alpha Anaxibia	
Zigzag Coarseness	Chicken Invasion	18	26%	44%	Alpha Anaxibia	
Grimy Fantasist	Chicken Invasion	32	16%	48%	Alpha Anaxibia	
Practical King	Boss Rush	3	87%	90%	Psi Anaxibia	
Sandy Injera	Squawk Block	5	72%	77%	Phi Anaxibia	
Defenseless Princedom	Chicken Invasion	20	60%	80%	Phi Anaxibia	
Helpless Colonialist	Chicken Invasion	20	15%	35%	Phi Anaxibia	
Decisive Buckthorn	Darkness	9	1%	10%	Phi Anaxibia	
Glistening Enthusiasm	Chicken Invasion	30	41%	71%	Epsilon Anaxibia	
Misguided Reveller	Chicken Invasion	36	73%	100%	Zeta Anaxibia	
Timely Houri	Feather Fields	8	39%	47%	Zeta Anaxibia	
Extraneous Surcoat	Feather Fields	9	94%	100%	Zeta Anaxibia	
Paltry Reputation	Squawk Block	8	28%	36%	Zeta Anaxibia	
Corny Megalopolis	Supernova	7	4%	11%	Thrasymedes	
Medium Bobble	Chicken Invasion	28	16%	44%	Thrasymedes	
Dark Sobriquet	Chicken Invasion	27	57%	84%	Thrasymedes	
Tender Truckstop	Chicken Invasion	6	32%	38%	Thrasymedes	
Trivial Trainer	Chicken Invasion	18	40%	58%	Thrasymedes	
Triangular Contemporaneity	Chicken Invasion	7	27%	34%	Thrasymedes	
Curly Dustpan	Chicken Invasion	9	77%	86%	Thrasymedes	
Surprised Proposer	Boss Rush	3	64%	67%	Alpha Thrasymedes	
Needy Panfish	Chicken Invasion	8	64%	72%	Alpha Thrasymedes	
Chubby Nonconformity	Comet Chase	13	83%	96%	Alpha Thrasymedes	
Starchy Football	Comet Chase	12	92%	100%	Alpha Thrasymedes	
Ethical Paddlewheel	Boss Rush	4	62%	66%	Alpha Thrasymedes	
Worthless Starfield	Chicken Invasion	40	60%	100%	Alpha Thrasymedes	
Frayed Humaneness	Chicken Invasion	32	55%	87%	Psi Thrasymedes	
Major Aphelion	Chicken Invasion	18	93%	100%	Psi Thrasymedes	
Staid Oppositionist	Chicken Invasion	9	55%	64%	Psi Thrasymedes	
Rash Dishcloth	Feather Fields	8	26%	34%	Psi Thrasymedes	
Joyful Territoriality	Comet Chase	5	7%	12%	Psi Thrasymedes	
Robust Bookbinder	Chicken Invasion	10	24%	34%	Psi Thrasymedes	
Joyful Congruity	Squawk Block	15	55%	70%	Gamma Thrasymedes	
Juvenile Emphasis	Chicken Invasion	24	22%	46%	Gamma Thrasymedes	
Worn Dad	Darkness	8	46%	54%	Delta Thrasymedes	
Fortunate Spangle	Chicken Invasion	27	99%	100%	Delta Thrasymedes	
Second Invitee	Chicken Invasion	12	89%	100%	Delta Thrasymedes	
Sleepy Deckle	Squawk Block	13	1%	14%	Delta Thrasymedes	
Polished Ambrosia	Darkness	8	33%	41%	Epsilon Thrasymedes	
Red Retinol	Squawk Block	5	96%	100%	Epsilon Thrasymedes	
Sympathetic Speckle	Squawk Block	14	14%	28%	Epsilon Thrasymedes	
Woozy Insouciance	Comet Chase	14	28%	42%	Epsilon Thrasymedes	
Crushing Biowarfare	Chicken Invasion	10	34%	44%	Zeta Thrasymedes	
Mean Playgoer	Supernova	7	2%	9%	Korybantes	
